county,new_pct,resale_pct,sales,average_price,month,year
Carlow,26.67,73.33,15,169445.59,01,2010
Carlow,25.0,75.0,12,177205.77,02,2010
Carlow,15.38,84.62,13,169528.3,03,2010
Carlow,12.5,87.5,16,161593.75,04,2010
Carlow,35.29,64.71,17,205699.18,05,2010
Carlow,36.36,63.64,11,165359.0,06,2010
Carlow,31.82,68.18,22,153316.92,07,2010
Carlow,52.63,47.37,19,212958.17,08,2010
Carlow,36.36,63.64,22,178012.78,09,2010
Carlow,44.44,55.56,18,178776.13,10,2010
Carlow,55.56,44.44,36,160224.92,11,2010
Carlow,63.33,36.67,30,171669.47,12,2010
Carlow,53.85,46.15,13,170409.58,01,2011
Carlow,35.71,64.29,14,168266.92,02,2011
Carlow,30.77,69.23,13,154126.38,03,2011
Carlow,9.09,90.91,11,127955.55,04,2011
Carlow,38.46,61.54,13,142429.79,05,2011
Carlow,10.53,89.47,19,150123.68,06,2011
Carlow,25.0,75.0,16,148947.15,07,2011
Carlow,33.33,66.67,18,116394.0,08,2011
Carlow,25.0,75.0,16,112158.94,09,2011
Carlow,15.38,84.62,13,139131.92,10,2011
Carlow,5.26,94.74,19,135305.84,11,2011
Carlow,41.18,58.82,17,106626.44,12,2011
Carlow,10.0,90.0,10,112951.54,01,2012
Carlow,25.0,75.0,20,130212.4,02,2012
Carlow,20.0,80.0,10,96923.42,03,2012
Carlow,0.0,100.0,21,101219.05,04,2012
Carlow,15.0,85.0,20,122225.0,05,2012
Carlow,21.43,78.57,14,89682.35,06,2012
Carlow,15.38,84.62,26,120296.69,07,2012
Carlow,7.41,92.59,27,121794.85,08,2012
Carlow,27.78,72.22,18,109990.69,09,2012
Carlow,33.33,66.67,27,97271.17,10,2012
Carlow,12.82,87.18,39,102770.9,11,2012
Carlow,23.53,76.47,34,97006.48,12,2012
Carlow,15.38,84.62,13,103523.84,01,2013
Carlow,10.53,89.47,19,116661.5,02,2013
Carlow,25.0,75.0,16,231544.94,03,2013
Carlow,19.05,80.95,21,92564.82,04,2013
Carlow,18.42,81.58,38,119700.48,05,2013
Carlow,9.68,90.32,31,128947.39,06,2013
Carlow,45.24,54.76,42,74764.69,07,2013
Carlow,18.75,81.25,16,136398.12,08,2013
Carlow,16.67,83.33,30,109805.17,09,2013
Carlow,13.79,86.21,29,129789.72,10,2013
Carlow,22.73,77.27,44,118442.7,11,2013
Carlow,3.95,96.05,76,89766.0,12,2013
Carlow,13.79,86.21,29,109195.46,01,2014
Carlow,17.65,82.35,17,87120.12,02,2014
Carlow,19.05,80.95,21,115549.91,03,2014
Carlow,10.0,90.0,40,108899.49,04,2014
Carlow,16.67,83.33,18,101121.35,05,2014
Carlow,17.65,82.35,34,92953.53,06,2014
Carlow,26.09,73.91,46,130587.85,07,2014
Carlow,20.69,79.31,29,110643.1,08,2014
Carlow,16.28,83.72,43,112042.39,09,2014
Carlow,24.32,75.68,37,140890.08,10,2014
Carlow,26.32,73.68,38,112622.0,11,2014
Carlow,13.1,86.9,84,118087.47,12,2014
Carlow,6.67,93.33,30,141072.23,01,2015
Carlow,17.95,82.05,39,122112.42,02,2015
Carlow,22.5,77.5,40,125756.66,03,2015
Carlow,16.67,83.33,42,109839.63,04,2015
Carlow,10.71,89.29,28,127235.71,05,2015
Carlow,19.51,80.49,41,126758.39,06,2015
Carlow,16.13,83.87,62,98788.33,07,2015
Carlow,15.62,84.38,32,153559.31,08,2015
Carlow,21.95,78.05,41,151801.83,09,2015
Carlow,23.08,76.92,65,122744.52,10,2015
Carlow,6.98,93.02,43,152174.0,11,2015
Carlow,12.12,87.88,66,119144.69,12,2015
Carlow,6.67,93.33,30,125315.0,01,2016
Carlow,17.07,82.93,41,138150.5,02,2016
Carlow,29.79,70.21,47,111542.23,03,2016
Carlow,8.0,92.0,25,114238.87,04,2016
Carlow,7.69,92.31,39,141254.5,05,2016
Carlow,5.41,94.59,37,148292.79,06,2016
Carlow,11.36,88.64,44,144200.84,07,2016
Carlow,13.04,86.96,46,148947.26,08,2016
Carlow,23.73,76.27,59,131584.76,09,2016
